Question,Difficulty Level,Difficulty_Score
State & Explain any 3 different evaluation metrics available for Text Classification.,Easy,0.3
Explain Vector Space Model with neat illustrated example.,Medium,0.55
Compare and Contrast word embedding models through 1 sample example paragraph.,Hard,0.85
Give a sample paragraph and explain the process for obtaining N-grams from the text.,Medium,0.55
"A 30 bytes long message is sent from one device to another, which is 1S m apart, through a link with bandwidth 10 bps. If the data travels through the link at a speed of 3 m/s, calculate the transmission delay and propagation delay.",Medium,0.55
"How long does it take a packet of length 1000 bytes to propagate over a link of distance 2500km, propagation speed 2.5x108m/s, and transmission rate 2 Mbps?",Medium,0.55
A subnet has been assigned a subnet mask of 255.255.255.192. What is the maximum number of hosts that can belong to this subnet?,Easy,0.3
What is the relationship between sequence number and window size in Selective Repeat Mechanism?,Easy,0.3
"In what scenarios is UDP preferred over TCP , and vice versa?",Medium,0.55
How does DHCP help in minimizing manual IP address configuration errors?,Medium,0.55
Name three error-detection strategies employed by link layer,Easy,0.3
"Determine the maximum length of the cable (in km) for transmitting data at a rate of 500 Mbps in an Ethernet LAN with frames of size 10,000 bits. Assume the signal speed in the cable to be 2,00,000 km/s.",Medium,0.55
How are signal strength and transmission distance related to each other?,Medium,0.55
"Discuss in detail the different types of connections that are possible in the application layer protocol used by Google Chrome. Will the working of the protocol differ when a different browser, like Mozilla Firefox or Internet Explorer, is used? Justify your answer",Medium,0.55
"TCP congestion control decreases its transmission rate in the face of increasing congestion (loss), while UDP sources need not, and it is possible for UDP sources to crowd out TC P traffic. Does it mean that TC P is fairer than UDP? Justify it",Medium,0.55
"Design and describe an application-level protocol to be used between an automatic teller machine and a bank's centralized computer. Your protocol should allow a user's card and password to be verified, the account balance (which is maintained at the centralized computer) to be queried, and an account withdrawal to be made (that is, money disbursed to the user). Your protocol entities should be able to handle the all-toocommon case in which there is not enough money in the account to cover the withdrawal. Specify your protocol by listing the messages exchanged and the action taken by the automatic teller machine or the bank's centralized computer on transmission and receipt of messages. Sketch the operation of your protocol for the case of a simple withdrawal with no errors, using a sequence diagram. Explicitly state the assumptions made by your protocol about the underiying end-to-end transport service.",Easy,0.3
Consider distributing a file of F bits to N peers using a ClientServer and P2P architecture. Analyze and specify the distribution time for both the architecture,Hard,0.85
A circuit in link is implemented with either frequency-division multiplexing (FDM) or time-division multiplexing (TDM). What is the difference between FDM and TDM links?,Easy,0.3
How to achieve reliable data transfer over a channel that can corrupt or lose packets.? Illustrate with the receiver side Finite State Machine,Easy,0.3
"Suppose that the links and routers in the network never fail and that routing paths used between all source/destination pairs remains constant. In this scenario, does a virtual circuit or datagram architecture have more control traffic overhead? Why? Explain in detail",Medium,0.55
"TCP congestion control is often referred to as an additiveincrease, multiplicative-decrease form of congestion. Justify",Medium,0.55
"Why are policy considerations as important for intra-AS protocols, such as OSPF and RIP, as they are for an interAutonomous System routing protocol like BGP ?",Medium,0.55
Detail and Discuss CSMA/CD algorithm and derive the efficiency for the same.,Medium,0.55
"Compare and discuss at least with four performance metrics of the following wireless technologies with simple diagrams: Ad hoc Networks, Wireless LAN, Cellular Technologies, and LTE/5G.",Hard,0.85
Sketch the IPv4 datagram format and highlight their functionalities,Medium,0.55
When NAT traversal problem occurs? Discuss at least three solutions to address the same,Medium,0.55
"Construct LAN (wired & wireless) architecture for your campus with the maximum possible interfaces, technologies, network elements, middleware and protocol involved in it. Discuss their characteristics and specifications.",Medium,0.55
Which user communities are major stake in programming language landscape?,Medium,0.55
What is lexical scoping? Give examples,Easy,0.3
Define assertion. Give its syntax.,Easy,0.3
Define state transformation. How it is represented mathematically?,Easy,0.3
What are the five principal ways to pass an argument to a function?,Medium,0.55
Draw the structure of Run-Time memory,Medium,0.55
What are some features that are lacking in the C programming language?,Medium,0.55
Which mechanism can be used to identify the type or class of an object at runtime?,Medium,0.55
What is the significance of recursion in functional programming paradigm?,Easy,0.3
What are the two powerful principles of prolog? Give some applications of logic programming.,Medium,0.55
Discuss about the major language design constraints and design goals for language designers,Hard,0.85
"Differentiate between structural equivalence and name equivalence with examples and discuss how it can used for types in languages like c, Ada and Java",Easy,0.3
Describe the assignment semantics with suitable examples,Medium,0.55
Which garbage collection algorithm makes two passes on the heap to remove garbages? Discuss in detail with a neat diagram,Medium,0.55
