Question,Bloom's Taxonomy Level,BT1 (Remembering),BT2 (Understanding),BT3 (Applying),BT4 (Analyzing),BT5 (Evaluating),BT6 (Creating),Difficulty_Score
Discuss about the major language design constraints and design goals for language designers,BT2 (Understanding),0.012613729,0.9549365,0.0021781572,0.026496142,0.0030667428,0.000708754,0.85
"Differentiate between structural equivalence and name equivalence with examples and discuss how it can used for types in languages like c, Ada and Java",BT4 (Analyzing),0.0036006593,0.048394788,0.0023037118,0.9434074,0.0011584493,0.0011349584,0.3
Describe the assignment semantics with suitable examples,BT1 (Remembering),0.77389675,0.13040008,0.019434996,0.071208864,0.0031655726,0.0018937214,0.55
Which garbage collection algorithm makes two passes on the heap to remove garbages? Discuss in detail with a neat diagram,BT1 (Remembering),0.6395697,0.06989313,0.027922085,0.2569673,0.0044038296,0.0012438417,0.55
What is a variable in programming?,BT1 (Remembering),0.9883157,0.004040182,0.003548834,0.0021097795,0.0012394399,0.00074603717,0.101201623
Explain the purpose of a loop in coding.,BT1 (Remembering),0.53085136,0.28489614,0.038299344,0.1387193,0.0041264454,0.003107344,0.276062788
Define an array and its uses.,BT1 (Remembering),0.9197886,0.046899773,0.02073131,0.010232546,0.0012079426,0.0011397253,0.106231579
What does an if-else statement do?,BT5 (Evaluating),0.010869727,0.009598668,0.053178016,0.05250728,0.867078,0.0067683486,0.256661709
Explain the difference between a function and a method.,BT2 (Understanding),0.027547315,0.78695005,0.0058551277,0.17426088,0.0044750334,0.0009116543,0.255910404
What is recursion in programming?,BT1 (Remembering),0.9879857,0.004838806,0.0031398013,0.002424756,0.00091810786,0.00069285434,0.136692068
How does a switch-case statement work?,BT3 (Applying),0.1901106,0.021197755,0.70405763,0.07700086,0.0056844587,0.0019486911,0.260541445
Describe the use of a dictionary in Python.,BT1 (Remembering),0.73851067,0.18495785,0.043413255,0.029773265,0.0016472414,0.0016977531,0.227214628
What are data types in programming?,BT1 (Remembering),0.98866045,0.004292313,0.0027657258,0.0025301883,0.001013211,0.000738011,0.175380704
Explain the difference between a list and a tuple in Python.,BT1 (Remembering),0.39891294,0.330929,0.0353752,0.22958037,0.003141954,0.0020605742,0.238453394
How does gradient descent optimize deep learning models?,BT3 (Applying),0.015308717,0.010034812,0.8779563,0.068556815,0.004162192,0.023981158,0.819194357
Explain the vanishing gradient problem and its solutions.,BT1 (Remembering),0.4162325,0.3760635,0.043253105,0.15863186,0.003373942,0.0024451502,0.933527623
What are adversarial attacks in machine learning?,BT1 (Remembering),0.98581344,0.0063004144,0.0024838252,0.0031963543,0.0012976377,0.0009082678,0.83718572
Describe the architecture of a Transformer model.,BT1 (Remembering),0.79851943,0.15103097,0.021716231,0.025598302,0.0014211172,0.0017139927,0.924458781
How do variational autoencoders work?,BT3 (Applying),0.34924886,0.026232058,0.53739756,0.07957876,0.0041486006,0.0033941786,0.898407236
Explain the significance of eigenvalues and eigenvectors in PCA.,BT2 (Understanding),0.32056642,0.4055684,0.04272467,0.2250411,0.0034299865,0.0026694362,0.901034354
What are GANs (Generative Adversarial Networks) and how do they function?,BT1 (Remembering),0.9784339,0.011817668,0.0030437412,0.0034099019,0.0013634937,0.0019311858,0.760387398
Discuss the role of reinforcement learning in robotics.,BT2 (Understanding),0.1385614,0.783735,0.022298604,0.052267484,0.0020012714,0.0011362898,0.732529354
How do capsule networks improve upon CNNs?,BT6 (Creating),0.017169109,0.01517191,0.17714792,0.28713223,0.20269054,0.30068833,0.774159638
Explain the concept of knowledge distillation in deep learning.,BT2 (Understanding),0.17117496,0.74544746,0.020431878,0.05885677,0.0020145832,0.0020743883,0.872865503
"What is meta-learning, and how is it applied in AI?",BT1 (Remembering),0.9763156,0.011374692,0.0051886723,0.0038409857,0.0020543176,0.0012257044,0.883833384
Describe self-supervised learning and its applications.,BT1 (Remembering),0.84077406,0.12740898,0.011939323,0.016768087,0.00131866,0.0017907481,0.735973275
Explain why batch normalization is important in deep networks.,BT2 (Understanding),0.12819526,0.7544305,0.022633085,0.09089285,0.0023456349,0.0015027196,0.759022072
What are the limitations of backpropagation?,BT1 (Remembering),0.95754474,0.021893864,0.004255425,0.012875358,0.0027522717,0.00067833974,0.876981603
How does the attention mechanism work in NLP models?,BT4 (Analyzing),0.032580703,0.012133975,0.18029611,0.7694401,0.0039041252,0.0016449345,0.917060423
What is a constant in programming?,BT1 (Remembering),0.9888727,0.0040936517,0.0026083777,0.0021146436,0.0014009883,0.0009095714,0.262540047
